"Entry","Name","Origin","Region","SeedMass1000.2018","SeedMass1000.2017","SeedMass1000.2016"
217,"PI 339289 LSP AGL","Turkey","Asia",71.8693693693694,62.6,62.1
218,"PI 339292 LSP AGL","Turkey","Asia",33.1345029239766,30.7,33.5
219,"PI 339296 AGL","Turkey","Asia",37.7245508982036,31.7,33.6
220,"PI 343026 LSP AGL","Tajikistan","Asia",30.647619047619,23.1,23.5
221,"PI 345627 LSP AGL","Ukraine","Europe",58.0237154150198,50.2,33.8
222,"PI 358602 LSP AGL","Ethiopia","Africa",25.5495772482706,20.1,21.3
223,"PI 368647 LSP AGL","Macedonia","Europe",27.1799628942486,25.6,23.5
224,"PI 368651 LSP AGL","Macedonia","Europe",25.4582210242588,21.5,20.2
225,"PI 370481 LSP AGL","Serbia","Europe",64.4827586206897,54.4,65.3
226,"PI 374116 LSP AGL","Morocco","Africa",38.0340264650284,30.6,31.1
227,"PI 374117 LSP AGL","Morocco","Africa",42.6582278481013,34.7,34.4
228,"PI 374118 AGL","Morocco","Africa",41.2892376681614,37.6,33.5
229,"PI 374120 LSP AGL","Morocco","Africa",53.5649546827795,49.4,42.1
230,"PI 374121 AGL","Morocco","Africa",59.1067538126362,55.3,52.9
231,"PI 379368 LSP AGL","Macedonia","Europe",63.1578947368421,56.7,50.2
232,"PI 383682 LSP AGL","Turkey","Asia",29.8729792147806,20,22.6
233,"PI 420818 AGL","Greece","Europe",70.8367346938775,55.5,57.8
234,"PI 420924 LSP AGL","Jordan","Asia",65.1449275362319,55.3,50.4
235,"PI 420925 LSP AGL","Jordan","Asia",36.1868686868687,32.6,29.2
236,"PI 420929 LSP AGL","Jordan","Asia",39.523178807947,30.9,33.6
237,"PI 426202 LSP AGL","Afghanistan","Asia",30.3174603174603,22.9,25.8
238,"PI 426778 LSP AGL","Pakistan","Asia",26.9330855018587,23.6,24.3
239,"PI 426784 LSP AGL","Pakistan","Asia",24.281045751634,23.4,23.6
240,"PI 426797 LSP AGL","Pakistan","Asia",24.2836468885673,23.7,22.8
241,"PI 426807 LSP AGL","Pakistan","Asia",24.1708043694141,21.3,23.8
242,"PI 431618 LSP AGL","Iran","Asia",58.8577154308617,55.9,61.5
243,"PI 431622 LSP AGL","Iran","Asia",39.7293640054127,37.4,31.7
244,"PI 431630 LSP AGL","Iran","Asia",27.9039301310044,24.2,25.5
245,"PI 431633 LSP AGL","Iran","Asia",71.1682242990654,75.9,58.8
246,"PI 431636 LSP AGL","Iran","Asia",61.5192307692308,61.5,47.2
