"Name","Ro17_gc.a.at.DTF","Ro17_gc.a.at.DTM","Ro17_gc.a.perc.DTF","Ro17_gc.a.xmax.DTF","Ro17_gc.a.xmax.DTM","Ro17_gc.a.xmid.DTF","Ro17_gc.a.xmid.DTM","Ro17_gc.h.at.DTF","Ro17_gc.h.at.DTM","Ro17_gc.h.perc.DTF","Ro17_gc.h.xmax.DTF","Ro17_gc.h.xmax.DTM","Ro17_gc.h.xmid.DTF","Ro17_gc.h.xmid.DTM","Ro17_gc.v.at.DTF","Ro17_gc.v.at.DTM","Ro17_gc.v.perc.DTF","Ro17_gc.v.xmax.DTF","Ro17_gc.v.xmax.DTM","Ro17_gc.v.xmid.DTF","Ro17_gc.v.xmid.DTM"
"PI_299375_LSP_AGL",0.831162365315772,NA,58.1395402914553,15.3333333333333,NA,-0.941643618866668,NA,0.183441101187912,NA,79.2537282190132,12.3333333333333,NA,-9.76371797646077,NA,0.136939617161461,NA,41.277861292663,14.6666666666667,NA,1.63626176196353,NA
"PI_300250_LSP_AGL",0.678468470767078,1.07603052877577,63.9764376344413,11.3333333333333,-24,-0.922705023588899,-36.2560383569222,0.138272285299706,0.177927396738245,77.7617339054421,13,-22.3333333333333,-9.09299132071193,-44.4263246540453,0.074224993567884,0.19319509292554,38.9678630106041,14.3333333333333,-21,2.68224326125267,-32.6510900720807
"PI_302398_LSP_AGL",0.480210585067255,0.936930704461158,50.8144929881603,12,-24.3333333333333,-0.0424397704159318,-36.3757731037493,0.12853896388777,0.151983300147372,84.9510363661084,8,-28.3333333333333,-11.2652700479029,-47.5986033812362,0.0614887066647198,0.147338806654511,39.3996014109969,24,-12.3333333333333,2.64380967726693,-33.6895236560664
"PI_308614_LSP_AGL",0.473925176252372,0.908879664255037,53.7633293718422,17.6666666666667,-16.6666666666667,-0.259648547325301,-34.5929818806586,0.128468435948066,0.144579705167252,90.0021414152639,4,-30.3333333333333,-14.2329875993881,-48.5663209327215,0.0539079168199064,0.126383980378311,46.6192701064001,16,-18.3333333333333,1.16858373598157,-33.1647495973518
"PI_311107_LSP_AGL",0.677282735784574,NA,56.8144464242957,13,NA,-0.869970859085567,NA,0.159777751855592,NA,84.3502902205803,9,NA,-12.1797446656074,NA,0.134030762076178,NA,58.9713661549464,8.33333333333333,NA,-0.413048226268832,NA
"PI_312175_LSP_AGL",0.85312987647301,1.39455084668099,55.3567430798446,20.6666666666667,-22,-0.881825744892367,-35.0985772936175,0.190536911997301,0.254421025405604,72.2248091229066,15.3333333333333,-15,-7.17143701210324,-38.5823544348897,0.157135121939127,0.346629282635332,39.237100556326,20,-20,2.8558523337845,-31.0521550446626
"PI_320935_LSP_AGL",0.391556775135333,1.1931910153973,32.9845953675109,23.6666666666667,-15.6666666666667,5.21734631508487,-34.1159870182485,0.130184215964641,0.187574987549593,69.2189472364904,15.6666666666667,-23.6666666666667,-6.21518381769497,-45.5485171510283,0.0456178351052947,0.219123687007095,20.7941153379148,19.3333333333333,-20,6.68486811645757,-32.6484652168758
"PI_320936_LSP_AGL",0.964773473284552,1.32104945491666,74.128907330745,7,-28.6666666666667,-2.978159257968,-38.6448259246347,0.170024355247856,0.259687815993449,66.2673426273598,19,-16.6666666666667,-5.65958907537353,-41.3262557420402,0.139226742184439,0.341909130844227,43.3648090515149,13.6666666666667,-22,1.58003565095867,-34.086631015708
"PI_320937_LSP_AGL",1.08182180343838,NA,71.1840204392369,12,NA,-5.05524580174523,NA,0.231131770924802,NA,70.8688015934449,17,NA,-7.24286119187367,NA,0.226828034456108,NA,45.5127931323593,17.3333333333333,NA,0.945256155403866,NA
"PI_320941_LSP_AGL",0.474950857210459,NA,39.2831000874786,19.6666666666667,NA,3.02038069168593,NA,0.140428522795782,NA,72.9293995815073,15.6666666666667,NA,-7.5176110388058,NA,0.0827365946648765,NA,35.6053125425323,13.6666666666667,NA,3.63402867787713,NA
