"Name","It17_Plot.Area.d094","It17_Plot.Area.d100","It17_Plot.Area.d118","It17_Plot.Area.d132","It17_Plot.Area.d164","It17_Plot.Height.d094","It17_Plot.Height.d100","It17_Plot.Height.d118","It17_Plot.Height.d132","It17_Plot.Height.d164","It17_Plot.Volume.d094","It17_Plot.Volume.d100","It17_Plot.Volume.d118","It17_Plot.Volume.d132","It17_Plot.Volume.d164"
"PI_320952_LSP_AGL",0.135624923338088,0.112536882534269,0.556192607440037,1.01750675326415,1.12794840541636,0.0789793729782104,0.102992701033751,0.0894325822591782,0.2412269115448,0.297891691327095,0.00997439056896462,0.0122818090426766,0.0525185015715378,0.264931166105386,0.339026714798831
"PI_320953_LSP_AGL",0.197479212561928,0.183662752691632,0.690031692706433,1.28315372449683,1.79749221024979,0.0841979508598645,0.0927906334400177,0.113477165500323,0.203849375247955,0.28293306628863,0.0152924231200828,0.0159308927658191,0.0808464581351751,0.262501037688889,0.507981455883699
"PI_320954_LSP_AGL",0.165233130746508,0.256198021961631,0.768443909748053,1.37360440187312,1.35986835785439,0.0785035230219364,0.0998557036121686,0.11130723853906,0.250822668274244,0.248314441591501,0.0131888812396682,0.0255273786265577,0.0887141127443526,0.344736527608474,0.341289162332389
"PI_329157_LSP_AGL",0.246640379899924,0.420000786799732,1.09581693054664,1.70995469486529,1.69285514791663,0.0808019489049911,0.091386025150617,0.140095802644889,0.274871587753296,0.272122871875763,0.0197834813876288,0.0385096393495032,0.151531474200339,0.469756748748018,0.465059181260538
"PI_329167_LSP_AGL",0.289416174444624,0.307429899558923,0.757839035446528,1.22387152677935,1.21163281151155,0.0861043011148771,0.10194656252861,0.126599217454592,0.259352306524913,0.256758783459663,0.0262991777406585,0.0318825065897977,0.10256617172209,0.324568737578714,0.321323050202927
"PI_339266_LSP_AGL",0.257807519017774,0.463465764274919,1.0695505016485,1.73092398013933,1.71361474033793,0.0817375257611275,0.0989764233430227,0.14439498881499,0.277097885807355,0.274326906949282,0.0201955608833992,0.0430991049197834,0.159469452986328,0.482117955610835,0.477296776054726
"PI_339283_LSP_AGL",0.0563741792331538,0.099287376160376,0.44943859630784,0.932671555166767,0.923344839615099,0.0656758863478899,0.0793764926493168,0.0725219734013081,0.171797320246696,0.17007934704423,0.00356491321825198,0.00774898691715497,0.0339026620566044,0.162335459095054,0.160712104504104
"PI_339285_AGL",0.0920609118657218,0.121377689640294,0.431696933887529,0.998265253803081,1.20266136763985,0.0632695655028025,0.0824395194649696,0.0648748291035493,0.170887356003126,0.190949224929015,0.00594466578704647,0.00995523957389291,0.0289400895507296,0.172896581567087,0.230334423209514
"PI_339289_LSP_AGL",0.357653096083485,0.427276230295327,1.02958172330095,1.65090788853951,1.63439880965412,0.0800636162360509,0.111786472300688,0.14233785867691,0.30211466550827,0.299093518853188,0.0292537383486699,0.0493357843415886,0.147446147001588,0.503673487505689,0.498636752630633
"PI_339292_LSP_AGL",0.21819487166535,0.280445571335365,0.767699052306581,1.349409605159,1.35687387027273,0.0943014025688171,0.0982855334877968,0.136126232643922,0.259680802623431,0.26557258695364,0.0200347426889112,0.0256612186076362,0.108598642385186,0.351345264168971,0.363560517776464
"PI_339296_AGL",0.16186359350487,0.176470530382845,0.571126530674822,0.929741971742466,1.19231313695364,0.0846927079061667,0.0989242096741994,0.106827966868877,0.210209121306737,0.229659034659465,0.0134076868645875,0.0194442558156083,0.0673930678889172,0.215924875771952,0.275184469323477
"PI_343026_LSP_AGL",0.184128229763101,0.255477062523575,0.736250491316822,1.47675285390653,1.55581247218801,0.0682999975979328,0.0858900273839633,0.109306109448274,0.27677421271801,0.27797100648284,0.0129095580581245,0.0225427519142624,0.0821365122623136,0.413250653520632,0.439087234843809
"PI_345627_LSP_AGL",0.211511427586503,0.391226630267318,0.955932195147734,1.60503380195332,1.58898346393378,0.0909522374471029,0.118322605888049,0.134759823481242,0.320906658967336,0.317697592377663,0.0189739274937684,0.046102196729168,0.133530892471437,0.517110889841544,0.511939780943128
"PI_358602_LSP_AGL",0.239286762642487,0.182570836113652,0.653769630267403,1.2415230036633,2.17383698253599,0.0713021233677864,0.0901998355984688,0.107280246913433,0.246103875339031,0.321789428591728,0.0171525065589731,0.0165344386959378,0.0707168236640909,0.30603651784536,0.699762726169132
"PI_368647_LSP_AGL",0.239585321797305,0.308583171950607,0.79111069360587,1.37937133913172,1.6173368109492,0.0671466303368409,0.0908416757980983,0.116040954987208,0.279559969902039,0.304517453809579,0.0154330583626411,0.0280372794123268,0.0972881372034727,0.397013588929306,0.496813444514928
"PI_368651_LSP_AGL",0.242289329284466,0.362749430826792,0.939899300195448,1.54485680562515,1.64718713672902,0.0790980371336142,0.101183049380779,0.126098707318306,0.309923221667608,0.309563078383605,0.0203057588888642,0.0389352494131896,0.121331646633915,0.48235169619285,0.512338430298788
"PI_370481_LSP_AGL",0.261109881659825,0.492129268801019,1.28871818866413,1.88945054189389,1.87055603647495,0.0843621417880058,0.114554243783156,0.145198583602905,0.321924050649007,0.318704810142517,0.021744820074502,0.0566654128179804,0.187125705574021,0.608935014450077,0.602845664305576
"PI_374116_LSP_AGL",0.268141375547222,0.325584182039996,0.989045478094269,1.51088238693672,1.49577356306735,0.080285731703043,0.0978146716952324,0.119798722366492,0.260487968722979,0.257883089035749,0.0178967005716219,0.0308218265425422,0.119523100003122,0.395402236019387,0.391448213659193
"PI_374117_LSP_AGL",0.238809767936475,0.313354213845457,0.862151408342972,1.38339442388828,1.58318028428503,0.0889774759610494,0.108934586246808,0.143550371130308,0.277566537261009,0.292314152916272,0.0196534245420119,0.0329193950959967,0.122369766661023,0.397248396499743,0.470036368829394
"PI_374118_AGL",0.365074556527556,0.339529872652656,0.808995043735892,1.38513589084385,1.37128453193541,0.0783699974417686,0.112607839206855,0.14883004128933,0.314257919788361,0.311115340590477,0.0320134271682557,0.0380471426925963,0.123225428150766,0.438405049511967,0.434020999016847
"PI_374120_LSP_AGL",0.239295321592085,0.422504843913212,1.0262560510204,1.56475329797183,1.78028612430851,0.0690212647120158,0.0849296078085899,0.134352842966715,0.252193853259087,0.250730887899796,0.016449553805498,0.0373854509819208,0.13807089749038,0.399060034505999,0.450132789754898
"PI_374121_AGL",0.236446643683282,0.403850636185886,1.05081944838921,1.73386315356138,1.71652452202576,0.0817725968857606,0.116131782531738,0.141450320680936,0.306557476520538,0.303491901755333,0.0196172497956411,0.0465835325437159,0.14922652827165,0.533469887059678,0.528135188189081
"PI_379368_LSP_AGL",0.358127455982106,0.533841633615883,1.19467795729727,1.82251565238719,1.80429049586332,0.0899004687865575,0.132180852194627,0.136376937230428,0.296318411827087,0.293355227708817,0.0324296274822232,0.0704174918061335,0.165799165474351,0.544530820482523,0.539085512277698
"PI_383682_LSP_AGL",0.224310963302272,0.281309727741503,0.7273934910377,1.27840543956737,1.44465767479712,0.0739388739069303,0.101065099239349,0.0997966701785723,0.259905884663264,0.258955180247625,0.0158013505859973,0.0280182491696932,0.0724054845239054,0.334000774811553,0.37478271694238
"PI_420818_AGL",0.259276649246751,0.459306962556805,1.16118476295063,1.86069868495263,1.8420916981031,0.0789640545845032,0.106905274093151,0.124657178918521,0.323105543851852,0.319874488413334,0.0199834572621563,0.0488037696171829,0.144689757154795,0.598746421674991,0.592758957458241
"PI_420924_LSP_AGL",0.304301856680938,0.536046886759728,1.13123415225098,1.79200098945413,1.77408097955959,0.104486589630445,0.148008858164152,0.173794249693553,0.352729688088099,0.349202391207218,0.0318990183179576,0.0804325793979097,0.197850341321584,0.633840026326915,0.627501626063646
