"Name","Su17_gc.a.at.DTF","Su17_gc.a.at.DTM","Su17_gc.a.perc.DTF","Su17_gc.a.xmax.DTF","Su17_gc.a.xmax.DTM","Su17_gc.a.xmid.DTF","Su17_gc.a.xmid.DTM","Su17_gc.h.at.DTF","Su17_gc.h.at.DTM","Su17_gc.h.perc.DTF","Su17_gc.h.xmax.DTF","Su17_gc.h.xmax.DTM","Su17_gc.h.xmid.DTF","Su17_gc.h.xmid.DTM","Su17_gc.v.at.DTF","Su17_gc.v.at.DTM","Su17_gc.v.perc.DTF","Su17_gc.v.xmax.DTF","Su17_gc.v.xmax.DTM","Su17_gc.v.xmid.DTF","Su17_gc.v.xmid.DTM"
"PI_298357_LSP_AGL",0.216462453995269,1.01558848615892,21.0361849980887,29,-13.3333333333333,9.09753563273953,-33.2357977005938,0.0949554789179065,0.223778749772523,41.5681264631512,32,-10.3333333333333,3.38920665858533,-38.944126674748,0.00989688252746491,0.217400842491167,4.49504549915269,26,-16.3333333333333,13.07891602541,-29.2544173079233
"PI_298631_LSP_AGL",0.682245205737876,1.48656202311449,58.9542052384907,15,-14,-2.2832663807868,-34.4161421735454,0.167704947628378,0.227250874708187,71.8080413618775,19.3333333333333,-20,-8.67220287133677,-44.599867130794,0.114540181162732,0.325292762568576,41.7716858497118,12.6666666666667,-19,1.1877077552574,-32.1212463442601
"PI_298644_LSP_AGL",1.12371900681727,NA,64.4187042487386,17.6666666666667,NA,-4.43481995315243,NA,0.203443654936025,NA,74.9003065303822,18.3333333333333,NA,-10.2411507816488,NA,0.23810427146968,NA,52.8389258884225,14.6666666666667,NA,-0.378782972417033,NA
"PI_298645_AGL",0.683893757418879,1.41691620864322,53.9087444897827,20,-16.5,-1.26539078057467,-39.2760777718053,0.16496456096104,0.266654008206258,63.0682228908965,22.6666666666667,-17,-4.88517766730893,-42.4265392683044,0.0986671542099686,0.368181105220655,30.0104043282905,17.6666666666667,-19.5,3.8127793595037,-33.9749372189771
"PI_298921_AGL",0.467759879715719,1.05144181999952,43.8041866330578,25.3333333333333,-15.3333333333333,1.85768633930237,-38.8089803273643,0.138945246372615,0.235644589613926,58.7130384923592,25,-15.6666666666667,-3.4354673378469,-44.1021340045136,0.0487514395203168,0.242959968238409,19.1656099527962,22.3333333333333,-18.3333333333333,7.1055412228067,-33.56112544386
"PI_298922_LSP_AGL",0.696415884695027,1.67095071271735,45.002237886516,24,-15,1.5074236223422,-37.6138519353498,0.132387975243138,0.260042316045248,52.1693618307749,28.6666666666667,-12,-0.705742149085002,-39.6779692485888,0.0758009281861326,0.421310201384248,19.7994837609388,22.6666666666667,-17,7.2253149464388,-31.9839394689178
"PI_298923_LSP_AGL",0.514449158488192,1.31484463818942,42.8131224097028,26,-16,2.1930703226379,-39.9495799463246,0.131187733750936,0.266959502319063,50.4361796411566,26.6666666666667,-16,-0.100312487008367,-42.0588098622231,0.052676353877694,0.35202011604704,16.4222792441733,24,-17.5,8.4315220522348,-33.5074943106419
"PI_299116_LSP_AGL",0.326139291314876,1.19846703931988,28.3973250828516,29.3333333333333,-9.5,6.61285853031137,-30.5989782390962,0.111466152390413,0.22989968794896,49.6574777418586,29.3333333333333,-5,0.419443390730166,-37.273239114654,0.0268666154593384,0.28139069466329,10.1477436091913,25.6666666666667,-12,11.1394535696985,-26.2774565068835
"PI_299120_LSP_AGL",0.278397568207719,0.937249469881586,28.9009768953447,30.3333333333333,-8.33333333333333,6.99587263405547,-31.6707940326112,0.119908340596204,0.201811518855423,59.3367952646172,22.6666666666667,-16,-3.25155390146423,-41.9182205681309,0.0204953661405896,0.18580345528257,10.8718083255073,25,-13.6666666666667,10.4121623769369,-28.2545042897298
"PI_299121_LSP_AGL",0.261886612362282,1.04976104846583,23.8185712662726,31.3333333333333,-10.6666666666667,8.6416335088897,-33.3583664911103,0.11537552092476,0.199164076055013,57.7654908251386,22.6666666666667,-19.3333333333333,-2.21139931888403,-44.211399318884,0.02124849840583,0.206746163878992,9.70344155998602,27,-15,11.4980601548547,-30.5019398451453
"PI_299126_LSP_AGL",0.262813272788954,0.907340203709612,27.6551635267003,31,-10.6666666666667,7.61145245886527,-34.0552142078014,0.0954772425896489,0.170291712538964,55.8967607698159,22.6666666666667,-19,-2.21552434008323,-43.8821910067499,0.0161383247890349,0.151802910402202,9.90396031872735,26.3333333333333,-15.3333333333333,11.2698563501423,-30.3968103165244
"PI_299163_LSP_AGL",0.55363692231496,0.848029830825052,40.0524877311181,25,-12,2.99563987217255,-33.7763198347795,0.169375261706425,0.20798182144551,70.8264848410987,20.5,-26,-7.93507988206485,-48.7904344882708,0.0738957481931049,0.17062389933755,21.822254622971,21,-18,6.2552696356032,-31.8469393948766
